player_register_id,direction,gap_years,kbo_season,mlb_season,player,kbo_rel_bb_pct,mlb_rel_bb_pct,kbo_rel_era,mlb_rel_era,kbo_rel_h_pct,mlb_rel_h_pct,kbo_rel_hr_pct,mlb_rel_hr_pct,kbo_rel_k_pct,mlb_rel_k_pct,kbo_age,mlb_age,kbo_batters_faced,mlb_batters_faced,cohort,first_kbo,first_mlb,n_kbo,n_mlb
harikk001tim,mlb_to_kbo,1,2005,2004,Tim Harikkala,0.541413998550289,1.0202893347174367,0.8793291487041225,1.0636827139915679,1.2604642775944117,0.8889716928692256,0.7771729377280612,1.3201513553784514,0.8263472316735799,0.6782843758484296,33,32,229.0,262.0,import_returnee,2005,2004,3.0,1.0
harrel001luc,mlb_to_kbo,2,2015,2013,Lucas Harrell,1.485828449782877,1.5717941583385504,1.0111449300760575,1.5167819483490346,0.9163641296624074,1.0809197294695108,0.5262149755297668,1.1220312885489057,1.0342749156366318,0.6339568474495424,30,28,785.0,707.0,import_returnee,2015,2011,1.0,4.0
harrel001luc,kbo_to_mlb,1,2015,2016,Lucas Harrell,1.485828449782877,1.4703801798678524,1.0111449300760575,1.007307177767346,0.9163641296624074,0.965573302182726,0.5262149755297668,0.6327300150829562,1.0342749156366318,0.8195202519506044,30,31,785.0,416.0,import_returnee,2015,2011,1.0,4.0
hart--000kyl,kbo_to_mlb,1,2024,2025,Kyle Hart*,0.6550057717516777,0.8638486567150084,0.5491328370808073,1.4116884196135853,0.8079075237686619,0.9674984432200529,0.6942145390344487,1.62785781381322,1.525679360276941,0.930287109191109,31,32,631.0,179.0,posted_from_kbo,2024,2025,1.0,2.0
hatch-000tom,mlb_to_kbo,1,2026,2025,Thomas Hatch,0.8502153283194952,1.3303094445261996,1.2966755923241227,1.4027912236916509,1.2064809214742866,1.1993228624403702,0.897228349818544,1.4910130414531904,1.038751631408019,0.6513994729720105,31,30,188.0,304.0,import_returnee,2026,2023,1.0,2.0
hernan002eli,mlb_to_kbo,2,2024,2022,Elieser Hernández,0.8924343146565369,0.9699719117858612,0.8195975390925403,1.6034444785666204,0.8644075908775457,1.1059092031713138,1.0210941121928603,2.385887416624706,1.491933000800542,0.9627511163665362,29,27,195.0,278.0,import_returnee,2024,2018,2.0,4.0
huff--001dav,mlb_to_kbo,2,2016,2014,David Huff*,0.32276208242998716,1.1695271981333424,0.6061367696460126,0.8981456433336172,0.952857510382594,1.045488379547706,0.2598637400009472,0.8515326096215884,0.9097498006458287,0.7425875625713138,31,29,299.0,516.0,import_returnee,2016,2009,2.0,5.0
humber001phi,mlb_to_kbo,2,2015,2013,Philip Humber,1.4163634888640662,0.9751302825073317,1.384945848375451,2.046545789821185,1.0444834236690719,1.2718184142173878,1.6929457204543727,1.378278974717507,0.771270852977865,0.6999900082983711,32,30,244.0,259.0,import_returnee,2015,2011,1.0,3.0
irvin-000col,mlb_to_kbo,1,2025,2024,Cole Irvin*,1.3305005042367617,0.7203501723877845,1.0396403796662281,1.2544306147443323,0.9553821945946881,1.2291824249131678,0.6519931846320439,1.2240901182164214,1.0018047191056465,0.7021103833632214,31,30,649.0,984.0,import_returnee,2025,2019,1.0,5.0
kelly-003ken,kbo_to_mlb,1,2018,2019,Merrill Kelly,0.8585057016693483,0.8608187660090775,0.7912185534027245,0.9830708859485838,0.888385187650281,1.0506615738900047,0.8654126927262527,1.0273584640467757,1.2717586433216652,0.8856811482036244,29,30,674.0,777.0,posted_from_kbo,2015,2019,4.0,7.0
